Año,Mes,Tipo_Categoria,Nombre,Accidentes_Mortales,Accidentes_Trabajo,Incidentes_Peligrosos,Enfermedades_Ocupacionales,Total_Notificaciones,Porcentaje_Accidentes
2026,Marzo,Region,MOQUEGUA,0.0,16.0,0.0,0.0,16.0,0.0
2026,Marzo,Region,PASCO,2.0,25.0,0.0,0.0,27.0,0.0
2026,Marzo,Region,PIURA,1.0,60.0,5.0,0.0,66.0,0.0
2026,Marzo,Region,PUNO,0.0,12.0,0.0,0.0,12.0,0.0
2026,Marzo,Region,SAN MARTIN,0.0,3.0,0.0,0.0,3.0,0.0
2026,Marzo,Region,TACNA,0.0,18.0,2.0,0.0,20.0,0.0
2026,Marzo,Region,TUMBES,0.0,1.0,0.0,0.0,1.0,0.0
2026,Marzo,Region,UCAYALI,0.0,49.0,1.0,0.0,50.0,0.0
2026,Abril,Region,ANCASH,0.0,121.0,1.0,0.0,122.0,0.0
2026,Abril,Region,APURIMAC,1.0,14.0,0.0,0.0,15.0,0.0
2026,Abril,Region,AREQUIPA,0.0,356.0,2.0,0.0,358.0,0.0
2026,Abril,Region,AYACUCHO,0.0,6.0,0.0,0.0,6.0,0.0
2026,Abril,Region,CAJAMARCA,0.0,4.0,1.0,0.0,5.0,0.0
2026,Abril,Region,CALLAO,1.0,263.0,3.0,0.0,267.0,0.0
2026,Abril,Region,CUSCO,1.0,22.0,0.0,2.0,25.0,0.0
2026,Abril,Region,HUANCAVELICA,1.0,22.0,1.0,0.0,24.0,0.0
2026,Abril,Region,HUANUCO,0.0,3.0,1.0,0.0,4.0,0.0
2026,Abril,Region,ICA,3.0,53.0,1.0,0.0,57.0,0.0
2026,Abril,Region,JUNIN,2.0,38.0,0.0,0.0,40.0,0.0
2026,Abril,Region,LA LIBERTAD,0.0,139.0,2.0,0.0,141.0,0.0
2026,Abril,Region,LAMBAYEQUE,0.0,7.0,2.0,0.0,9.0,0.0
2026,Abril,Region,LIMA,2.0,71.0,2.0,0.0,75.0,0.0
2026,Abril,Region,LIMA METROPOLITANA,7.0,2707.0,20.0,16.0,2750.0,0.0
2026,Abril,Region,LORETO,1.0,15.0,0.0,0.0,16.0,0.0
2026,Abril,Region,MOQUEGUA,0.0,12.0,0.0,0.0,12.0,0.0
2026,Abril,Region,PASCO,0.0,30.0,1.0,0.0,31.0,0.0
2026,Abril,Region,PIURA,0.0,34.0,4.0,0.0,38.0,0.0
2026,Abril,Region,PUNO,0.0,3.0,0.0,0.0,3.0,0.0
2026,Abril,Region,SAN MARTIN,0.0,0.0,0.0,0.0,0.0,0.0
2026,Abril,Region,TACNA,0.0,20.0,0.0,2.0,22.0,0.0
2026,Abril,Region,TUMBES,0.0,1.0,0.0,0.0,1.0,0.0
2026,Abril,Region,UCAYALI,0.0,33.0,0.0,0.0,33.0,0.0
